
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	admin_login	40	6	14000	134000	144000	30758.95	130	144110	3210.53	0.1	0
GET	api_calls	24	18	18000	134000	135000	29785.4	34	135257	54.67	0.1	0.1
POST	api_login	141	19	19000	136000	136000	53317.6	221	148363	2185.98	1.6	0
POST	auto_expire_timers	3	3	12000	31000	31000	17957.61	10282	31155	78	0	0
GET	batches_list	6	6	14000	44000	44000	22744.61	10283	44033	0	0.1	0.1
GET	dashboard	737	640	135000	140000	159000	104479.18	6	190461	5483.1	1.9	1.6
GET	dashboard_alerts	13	9	11000	134000	134000	20243.26	22	134451	46.69	0	0
GET	dev_dashboard	2	0	3707.66	136000	136000	69628.29	3708	135549	41624	0	0
GET	expired_timers	6	3	20000	136000	136000	37488.44	8	136330	13.5	0.1	0.1
GET	global_library	1342	1275	129000	139000	140000	88240.24	37	163567	6795.41	4.2	4.2
GET	homepage	4036	2991	133000	139000	143000	88904.13	8	161530	9516.34	10.5	6.6
GET	inventory_browse	125	72	19000	135000	152000	39218.81	12	167563	19207.62	0.2	0.2
GET	inventory_check	15	15	5000	134000	134000	15905.56	37	133991	14616	0	0
GET	inventory_main	704	601	135000	139000	159000	104414.74	14	205661	6366.69	0.7	0.6
POST	login	302	67	14000	135000	145000	38711.19	172	190655	1967.56	1.6	0.1
GET	login_page	3013	2711	135000	142000	159000	120289.37	9	163212	4172.07	0.5	0
GET	org_dashboard	4	2	30000	84000	84000	45988.57	12	84018	20812	0	0
GET	products_list	20	17	30000	210000	210000	61024.44	79	209646	16524.05	0.3	0.2
GET	public_tools	1775	1474	134000	139000	155000	107338.15	10	200229	8355.12	4.2	3.2
GET	rapid_dashboard	72	68	7200	136000	211000	26033.89	6	210538	2458.28	0.3	0.2
GET	recipes_list	9	8	17000	211000	211000	55230.39	30	210507	4810.22	0.1	0.1
GET	server_time	20	14	16000	133000	133000	33705.32	9	133138	54.9	0.2	0.2
GET	settings	5	5	134000	161000	161000	89373.45	1329	161375	6727.8	0.1	0.1
GET	signup_page	605	578	129000	139000	144000	87077.19	13	159560	2691.92	2.2	2.2
POST	timer_login	80	15	14000	136000	136000	44804	190	136203	1332.79	1	0
GET	timer_summary	7	7	10000	25000	25000	10891.64	115	24890	76.71	0.1	0.1
GET	user_mgmt	1	0	4828.25	4800	4800	4828.25	4828	4828	41624	0	0
Aggregated	13107	10624	134000	139000	156000	96822.93	6	210538	6838.64	30.1	
