Host

http://0.0.0.0:5000

Status

running
Users

100
RPS

54
Failures

10%
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	admin_login	2	2	16000	142000	142000	78601.94	15663	141541	834	0	0
GET	api_calls	166	166	17	260	29000	755.68	3	30462	41	1.4	1.4
POST	api_login	9	9	8800	125000	125000	31772.43	798	124821	19408.89	0	0
POST	auto_expire_timers	11	11	12	180	180	45.13	4	181	117	0.1	0.1
GET	batches_list	28	2	260	11000	22000	1902.09	16	22345	38650.86	0	0
GET	dashboard	1010	1	110	740	31000	1801.85	11	167837	41582.79	10.5	0
GET	dashboard_alerts	32	32	19	210	6900	248.42	3	6924	41	0	0
GET	dev_dashboard	8	0	210	110000	110000	14032.55	27	110213	41624	0.1	0
GET	expired_timers	15	0	79	230	230	97	19	233	41624	0.1	0
GET	global_library	306	34	350	30000	103000	5003.04	37	137022	117691.72	1.8	0
GET	homepage	1718	295	66	8300	35000	1711.93	4	134866	30463.01	13.6	0
GET	inventory_browse	996	2	120	620	6300	457.13	11	109796	41540.42	8.1	0
GET	inventory_check	139	0	130	740	27000	716.48	11	29900	41624	1.3	0
GET	inventory_main	996	2	120	750	31000	1702.8	12	168802	41540.42	8.2	0
POST	login	17	17	1400	140000	140000	12390.94	901	140124	21906.35	0	0
GET	login_page	31	0	158000	167000	167000	124522.65	27776	167409	41624	0	0
GET	org_dashboard	9	0	340	27000	27000	5091.84	62	26644	41624	0.1	0
GET	products_list	52	0	160	27000	38000	2847.87	15	38103	41624	0.4	0
GET	public_tools	428	0	140	94000	164000	10787.13	9	165485	49430.05	2.8	0
GET	rapid_dashboard	515	0	140	690	30000	682.18	10	52500	41624	3.5	0
GET	recipes_list	32	0	180	29000	32000	3165.78	15	31941	41624	0.3	0
GET	server_time	66	66	15	9000	30000	1638.7	4	30478	41	0.5	0.5
GET	settings	15	0	250	29000	29000	5895.69	33	29491	41624	0.1	0
GET	signup_page	141	19	200	38000	124000	7225.94	15	140265	48421.93	0.8	0
POST	timer_login	3	3	1800	137000	137000	46818.36	1255	137397	16755.33	0	0
GET	timer_summary	26	26	13	96	500	40.08	3	505	41	0.3	0.3
GET	user_mgmt	7	0	47	250	250	104.14	13	250	41624	0	0
Aggregated	6778	687	110	7800	104000	2947.59	3	168802	40872.05	54	
