Host

http://0.0.0.0:5000

Status

running
Users

1000
RPS

8.7
Failures

25%
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	admin_login	10	10	31000	54000	54000	28864.59	4231	53652	42598.4	0	0
GET	api_calls	11	11	4100	45000	45000	8649.47	150	45235	2417.64	0	0
POST	api_login	43	43	31000	47000	48000	27414.47	298	48168	35628.74	0.2	0.2
POST	auto_expire_timers	4	4	1500	2600	2600	1860.46	1167	2576	87.75	0	0
GET	batches_list	7	0	32000	41000	41000	24417.3	3228	41373	41624	0	0
GET	dashboard	85	0	30000	56000	72000	27001.72	3616	71879	41624	0.2	0
GET	dashboard_alerts	18	18	1900	36000	36000	3850.66	34	36491	1493.39	0	0
GET	dev_dashboard	1	0	34000.44	34000	34000	34000.44	34000	34000	41624	0	0
GET	expired_timers	4	0	15000	55000	55000	27564.46	13922	54854	41624	0	0
GET	global_library	196	120	32000	52000	54000	29996.73	549	53814	76318.94	2	2
GET	homepage	579	4	30000	34000	62000	24854.33	151	85615	36545.31	3.3	0
GET	inventory_browse	39	1	28000	76000	88000	27941.85	1180	87838	40556.72	0.1	0
GET	inventory_check	4	0	32000	43000	43000	28316.71	3808	42760	41624	0	0
GET	inventory_main	77	3	24000	62000	79000	23751.62	1478	78702	40002.29	0.2	0
POST	login	88	88	31000	50000	56000	26357.65	962	55706	33740	0.4	0.4
GET	login_page	188	0	23000	63000	89000	24380.54	1023	92229	41624	0.7	0
GET	org_dashboard	3	0	29000	32000	32000	26255.53	17709	32234	41624	0	0
GET	products_list	8	0	21000	54000	54000	26057.59	3468	54383	41624	0	0
GET	public_tools	108	0	19000	64000	86000	23873.43	655	86841	51119.93	0.4	0
GET	rapid_dashboard	16	0	29000	76000	76000	33593.18	10956	75895	41624	0	0
GET	recipes_list	6	0	26000	37000	37000	23695.34	4452	37117	41624	0.1	0
GET	server_time	26	26	1800	43000	58000	5794.34	45	58103	41	0.1	0.1
GET	signup_page	93	63	34000	53000	58000	31273.26	471	57640	46757.84	0.8	0.8
POST	timer_login	19	19	31000	54000	54000	26257.12	1067	53588	35164.84	0.1	0.1
GET	timer_summary	6	6	3300	19000	19000	7160.15	37	18790	41	0.1	0.1
GET	user_mgmt	1	0	12098.55	12000	12000	12098.55	12099	12099	41624	0	0
Aggregated	1640	416	30000	52000	76000	25373.67	34	92229	42527.15	8.7	
