Host

http://0.0.0.0:5000

Status

running
Users

10000
RPS

23.2
Failures

38%
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	admin_login	3	3	760	13000	13000	4702.56	130	13219	42212	0	0
GET	api_calls	9	3	300	22000	22000	4431.77	34	21687	123	0	0
POST	api_login	19	13	5500	64000	64000	12288.64	221	64035	16072.11	0.4	0.2
GET	dashboard	111	45	7100	62000	64000	16361.43	6	63871	24779.24	1.9	0.9
GET	dashboard_alerts	4	0	86	3400	3400	957.37	22	3398	80	0	0
GET	dev_dashboard	1	0	3707.66	3700	3700	3707.66	3708	3708	41624	0	0
GET	expired_timers	3	0	300	45000	45000	15135.32	8	45103	27	0	0
GET	global_library	228	178	7300	38000	58000	10561.19	37	61588	29558.62	2.5	2.4
GET	homepage	712	94	5200	29000	55000	8239.71	8	65334	31901.65	7.2	1.7
GET	inventory_browse	59	9	190	9500	29000	2600.46	12	29075	38577.63	0.1	0.1
GET	inventory_check	9	9	940	7500	7500	2117.57	37	7536	24360	0	0
GET	inventory_main	97	29	5000	60000	66000	13709.6	14	66067	31188.78	1.1	0.4
POST	login	46	28	7500	41000	63000	11191.85	172	62883	12584.48	1.8	0.6
GET	login_page	249	123	17000	63000	66000	22060.6	9	66687	21062.75	4.4	2.4
GET	org_dashboard	1	0	12.15	12	12	12.15	12	12	41624	0	0
GET	products_list	6	6	640	4800	4800	1503.97	79	4824	34011	0	0
GET	public_tools	194	55	17000	63000	66000	22291.74	10	66781	35417.42	2.8	0.6
GET	rapid_dashboard	41	41	86	33000	38000	4566.46	6	37714	207	0	0
GET	recipes_list	2	2	30	4100	4100	2077.32	30	4125	834	0	0
GET	server_time	7	1	100	57000	57000	9341.56	9	57247	127.57	0	0
GET	settings	1	1	1328.75	1300	1300	1328.75	1329	1329	33639	0	0
GET	signup_page	109	86	6500	52000	56000	11199.15	13	65586	12364.26	1	0.8
POST	timer_login	4	4	6200	53000	53000	17523.15	190	53307	25437.75	0	0
GET	timer_summary	2	2	120	25000	25000	12502.65	115	24890	207	0	0
GET	user_mgmt	1	0	4828.25	4800	4800	4828.25	4828	4828	41624	0	0
Aggregated	1918	732	6800	55000	64000	12436.79	6	66781	27464.01	23.2	10.1
