Host

http://0.0.0.0:5000

Status

spawning
Users

590
RPS

3.9
Failures

15%
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	admin_login	7	7	1500	3300	3300	1467.62	263	3277	42212	0	0
GET	api_calls	36	36	800	3300	3600	1162.13	18	3597	41	0	0
POST	api_login	31	31	1300	4500	7000	1803.46	304	6989	24716	0	0
POST	auto_expire_timers	4	4	140	1900	1900	839.29	23	1934	117	0	0
GET	batches_list	6	0	1200	4100	4100	2241.14	55	4110	41624	0	0
GET	dashboard	202	0	1300	5200	7900	2189.34	26	9391	41624	0	0
GET	dashboard_alerts	16	16	1500	4400	4400	1768.69	163	4427	41	0	0
GET	dev_dashboard	3	0	4300	4700	4700	4336.75	4020	4689	41624	0	0
GET	expired_timers	8	0	1200	5400	5400	1973.02	428	5395	41624	0	0
GET	global_library	122	8	2200	5900	7200	2329.57	252	16864	123681.15	0.7	0.7
GET	homepage	581	81	1700	4400	8000	1742.72	8	17279	31646.54	2.3	2.3
GET	inventory_browse	182	0	1200	5400	7300	2031.98	17	8059	41624	0	0
GET	inventory_check	35	0	2600	6600	6800	2703.08	66	6751	41624	0	0
GET	inventory_main	199	0	1200	6000	8100	2107.67	20	10118	41624	0	0
POST	login	67	67	1500	4000	5500	1736.64	227	5459	24716	0.3	0.3
GET	login_page	120	0	870	5500	6400	1589.32	86	6456	41624	0	0
GET	org_dashboard	7	0	2200	5100	5100	2231.03	59	5129	41624	0	0
GET	products_list	29	0	3500	6300	9200	3034.9	39	9209	41624	0	0
GET	public_tools	193	0	1800	5100	6000	1897.64	21	10031	49763.55	0	0
GET	rapid_dashboard	113	0	1400	6200	7700	2362.37	34	9093	41624	0	0
GET	recipes_list	9	0	1900	4300	4300	2094.61	414	4280	41624	0	0
GET	server_time	31	31	1600	2800	3200	1361.99	6	3218	41	0	0
GET	settings	6	0	2100	3900	3900	2297.8	103	3906	41624	0	0
GET	signup_page	61	5	2000	6200	16000	2368.01	180	16466	51331.31	0.5	0.5
POST	timer_login	13	13	1200	4800	4800	1771.96	309	4754	24716	0.1	0.1
GET	timer_summary	8	8	1700	3300	3300	1572.33	132	3318	41	0	0
GET	user_mgmt	3	0	2800	4300	4300	2664.97	932	4264	41624	0	0
Aggregated	2092	307	1600	5200	7700	1965.37	6	17279	41889.01	3.9	
