Host

http://127.0.0.1:5000

Status

running
Users

99
RPS

8.2
Failures

2%
Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	auth.login	90	1	23000	45000	61000	24419.94	3919	61069	69617.11	0	0
GET	auth.login.page	90	0	4800	17000	22000	6105.27	125	22342	41753	0	0
GET	batches.list	8	0	12000	28000	28000	14294.4	4879	27579	42367	0	0
GET	bootstrap.inventory.api	139	13	4000	25000	31000	6807.36	24	30619	216.86	1.1	0.2
GET	bootstrap.products	126	0	14000	33000	51000	16000.33	2193	62741	47236.75	1.5	0
GET	bootstrap.recipe_library	149	2	6000	28000	30000	8286.52	1103	30568	50753.21	0.9	0
GET	bootstrap.recipes	156	0	13000	34000	54000	15528.85	330	56349	42808.81	1.5	0
GET	dashboard	14	0	3200	37000	37000	9174.36	1098	37178	49565.79	0.1	0
GET	expiration.summary	12	0	2500	28000	28000	5071.79	868	28273	7003	0.1	0
GET	global.items	14	2	6900	31000	31000	10591.91	1952	31003	86534.43	0.1	0
POST	inventory.adjust.restock	11	0	18000	26000	26000	16061.13	3623	26150	49602.09	0.1	0
POST	inventory.adjust.spoil	7	0	7600	41000	41000	15942.98	3377	41002	47890	0.1	0
POST	inventory.adjust.trash	14	0	6400	21000	21000	8390.8	861	21246	46686.71	0.4	0
GET	inventory.list	21	0	16000	43000	51000	19590.4	2493	51403	48329.76	0.5	0
GET	inventory.view	20	0	9700	31000	31000	10246.77	2544	30671	88169	0.5	0
GET	products.list	12	0	10000	25000	25000	13744.9	6267	25403	46662.17	0.3	0
GET	public.global_items	15	0	4900	15000	15000	5919.39	390	14996	125256.2	0.1	0
GET	public.homepage	35	0	8500	30000	31000	9719.03	1493	30706	36916.89	0.1	0
GET	public.recipe_library	23	0	5100	15000	26000	6480.33	257	25690	47215	0.1	0
GET	public.signup	5	0	5500	24000	24000	8621.53	1666	23676	55969	0.2	0
GET	public.tools	31	0	5300	12000	12000	5573.25	165	12276	46776	0.2	0
GET	recipes.import	3	0	6600	9900	9900	6305.14	2426	9929	91849.67	0	0
GET	recipes.library.detail	4	0	6400	15000	15000	7487.91	1492	14934	45373	0	0
GET	recipes.library.list	5	0	11000	21000	21000	11039.57	1827	20681	49390.4	0	0
GET	recipes.list	18	0	11000	71000	71000	15405.01	2020	71447	42980.28	0.3	0
Aggregated	1022	18	9100	31000	47000	11918.71	24	71447	43944.42	8.2	0.2
