Type	Name	# Requests	# Fails	Median (ms)	95%ile (ms)	99%ile (ms)	Average (ms)	Min (ms)	Max (ms)	Average size (bytes)	Current RPS	Current Failures/s
POST	auth.login	840	404	33000	158000	196000	66881.73	1072	244160	46882.92	0	0
GET	auth.login.page	900	60	17000	91000	101000	32173.85	171	105535	38969.47	0	0
GET	batches.list	236	0	60000	133000	209000	64286.24	3966	334539	44820.94	0	0
GET	bootstrap.inventory.api	2842	1089	20000	30000	31000	18292.39	10	40655	160.66	1.5	0.9
GET	bootstrap.products	2765	29	54000	136000	185000	61657.49	219	313590	46971.05	0.9	0
GET	bootstrap.recipe_library	2870	388	24000	61000	62000	27976.48	258	92296	49037.75	1.2	0
GET	bootstrap.recipes	2910	11	57000	137000	175000	63185.17	351	313016	44705.84	2.1	0
GET	dashboard	482	2	22000	120000	173000	38396.07	1807	264953	48825.84	0.5	0
GET	expiration.summary	592	0	22000	119000	156000	37216.57	128	177948	16424.54	0.5	0
GET	global.items	629	75	24000	61000	77000	28417.4	2034	117385	97505.11	0.5	0.1
POST	inventory.adjust.restock	410	2	57000	137000	186000	62771.71	3832	234959	48168.38	0.4	0
POST	inventory.adjust.spoil	386	2	62000	147000	182000	68724.62	4598	253738	48149.86	0.4	0
POST	inventory.adjust.trash	363	1	60000	139000	179000	66883.15	2435	212595	47898.71	0.1	0
GET	inventory.list	1064	4	71000	157000	216000	78403.31	2111	310372	47333.4	0.5	0
GET	inventory.view	833	8	24000	119000	160000	39094.18	1691	233304	81628.85	0.2	0
GET	products.list	380	5	52000	134000	191000	61045.74	2054	242923	46725.5	0.1	0
GET	public.global_items	1776	631	22000	31000	32000	19663.96	99	51545	87070.16	0.8	0.2
GET	public.homepage	2337	0	21000	30000	34000	19111.74	101	52867	36915.58	1.1	0
GET	public.recipe_library	1144	405	22000	31000	32000	19788.7	186	44137	45574.58	0.8	0.3
GET	public.signup	582	206	21000	31000	32000	19578.34	175	47771	51177.91	0.2	0
GET	public.tools	1711	0	22000	99000	146000	31269.61	121	210556	46533.57	0.7	0
GET	recipes.import	130	1	22000	111000	153000	39741.84	2275	289579	92769.88	0.1	0
GET	recipes.library.detail	130	15	21000	61000	62000	26295.95	1819	61628	45179.95	0.1	0.1
GET	recipes.library.list	225	30	27000	61000	68000	29497.79	348	86594	47894.97	0.3	0
GET	recipes.list	474	4	52000	136000	202000	62090.1	3111	276591	44558.68	0.3	0
Aggregated	27011	3372	30000	119000	161000	39719.2	10	334539	45348.27	13.3	
