common_name,botanical_name,cas_number,einecs_number,fema_number,category,molecular_formula,molecular_weight,boiling_point,melting_point,density,odor_description,flavor_description,description,uses,safety_notes,solubility,synonyms,natural_occurrence,url
"abies alba cone oil,",,8021-27-0,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1000121.html
"abies alba needle oil,",,8021-27-0,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1026931.html
"abies alba seed oil,",,8021-27-0,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1002421.html
abies amabilis oil canada,of the,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1096481.html
"abies balsamea bark oil,",,8024-15-5,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1080831.html
abies grandis oil canada,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1096461.html
abies koreana seed oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1095881.html
abies lasiocarpa oil canada,and environmental,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1096491.html
"abies pectinata needle oil,",,92128-34-2,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1546861.html
"abies pectinata wood oil,",,92128-34-2,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1703061.html
abies sachalinensis leaf oil,in Japan,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1539081.html
acacia farnesiana flower oil,that grow,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1687851.html
acanthopanax koreanum oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1703131.html
"achillea millefolium flower water,",,84082-83-7,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1617881.html
"achillea millefolium herb oil CO2 extract,",,8022-07-9,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1088441.html
achillea tenuifolia lam. flower oil iran,Achillea santolina,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1591741.html
"achyrocline satureioides flower oil,",,92346-81-1,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1687191.html
"acorus calamus rhizome oil,",pesticides in,8015-79-0,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1002331.html
"acorus calamus root oil CO2 extract,",pesticides in,84775-39-3,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1667861.html
"acorus calamus root oil mongolia,",pesticides in,84775-39-3,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1589811.html
"actinidia chinensis fruit water,",,92456-63-8,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1665651.html
adesmia boronioides flower/leaf/stem oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1612871.html
"aegle marmelos leaf oil,",extracts against,92201-13-3,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1704951.html
aeolanthus graveolens oil,of aeolanthus,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1066701.html
aeollanthus suaveonlens leaf oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1615711.html
"aesculus hippocastanum flower water,",,8053-39-2,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1600921.html
"aesculus hippocastanum oil,",,8053-39-2,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1669061.html
aframomum angustifolium leaf oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1612881.html
aframomum korarima oil,,,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1063261.html
"agarwood oil,",of aquilaria,94350-09-1,,,essential_oils,,,,,,,,,,,,,,https://www.thegoodscentscompany.com/data/es1067531.html
