key,source,raw_name,inci_name,cas_number,derived_term,derived_variation,derived_physical_form,ingredient_category,definition_display_name,cluster_id,cluster_reason,cluster_size,cosing_items_in_cluster,tgsc_items_in_cluster,sources_in_cluster
29e4b8f0d4e6f91c0c037f475fe63a5c9638e851,cosing,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SWEET ALMOND OIL/SUNFLOWER SEED OIL/ARTEMISIA PRINCEPS EXTRACT FERMENT EXTRACT FILTRATE,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SWEET ALMOND OIL/SUNFLOWER SEED OIL/ARTEMISIA PRINCEPS EXTRACT FERMENT EXTRACT FILTRATE,,Pseudozyma epicola,Seed Oil,Oil,Fermentation - Other,Pseudozyma epicola,composite:29e4b8f0d4e6f91c0c037f475fe63a5c9638e851,composite_item,1,1,0,cosing
2d18564e5f7e8d31a20d65b1c66618fb459fae9e,cosing,LACTOBACILLUS/RYE FLOUR FERMENT,LACTOBACILLUS/RYE FLOUR FERMENT,,Lactobacillus/rye FLOUR FERMENT,Ferment,Liquid,Fermentation - Other,Lactobacillus/rye FLOUR FERMENT,composite:2d18564e5f7e8d31a20d65b1c66618fb459fae9e,composite_item,1,1,0,cosing
373c24dc02e6af44afa322283fc6c716d2cd20e1,cosing,AGARICUS BLAZEI/SOY FLOUR/SUCROSE FERMENT EXTRACT,AGARICUS BLAZEI/SOY FLOUR/SUCROSE FERMENT EXTRACT,,Agaricus blazei,Ferment,Liquid,Marine - Botanicals,Agaricus blazei,composite:373c24dc02e6af44afa322283fc6c716d2cd20e1,composite_item,1,1,0,cosing
3b9bc878dcde0a07ae754da06e455b4f85f0252a,cosing,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SUNFLOWER SEED OIL/SWEET ALMOND OIL/LEONURUS SIBIRICUS EXTRACT FERMENT EXTRACT FILTRATE,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SUNFLOWER SEED OIL/SWEET ALMOND OIL/LEONURUS SIBIRICUS EXTRACT FERMENT EXTRACT FILTRATE,,Pseudozyma epicola,Seed Oil,Oil,Fermentation - Other,Pseudozyma epicola,composite:3b9bc878dcde0a07ae754da06e455b4f85f0252a,composite_item,1,1,0,cosing
4967a7f9e9db91a22d1651b4898f24d421e768b8,cosing,(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,,(lactobacillus/millet SEED FLOUR FERMENT & PANICUM MILIACEUM SEED Extract) FILTRATE,Seed Extract,Liquid,Fermentation - Other,(lactobacillus/millet SEED FLOUR FERMENT & PANICUM MILIACEU…,composite:4967a7f9e9db91a22d1651b4898f24d421e768b8,composite_item,1,1,0,cosing
4f4589329fd666cad2e73ef00846795ff9927ebc,cosing,LACTOBACILLUS/AMARANTHUS CAUDATUS SEED FLOUR FERMENT FILTRATE,LACTOBACILLUS/AMARANTHUS CAUDATUS SEED FLOUR FERMENT FILTRATE,,Lactobacillus/amaranthus CAUDATUS SEED FLOUR FERMENT FILTRATE,Ferment Filtrate,Liquid,Fermentation - Other,Lactobacillus/amaranthus CAUDATUS SEED FLOUR FERMENT FILTRA…,composite:4f4589329fd666cad2e73ef00846795ff9927ebc,composite_item,1,1,0,cosing
6c58a3880d1cce6e991a3f21150ea21b67e1480a,cosing,ASPERGILLUS/POTATO STARCH/WHEAT FLOUR FERMENT FILTRATE,ASPERGILLUS/POTATO STARCH/WHEAT FLOUR FERMENT FILTRATE,,Aspergillus/potato Starch/wheat FLOUR FERMENT FILTRATE,Ferment Filtrate,Liquid,Fermentation - Other,Aspergillus/potato Starch/wheat FLOUR FERMENT FILTRATE,composite:6c58a3880d1cce6e991a3f21150ea21b67e1480a,composite_item,1,1,0,cosing
7b15e43846ef078dd65ae764f4f15b088f693e33,cosing,ASPERGILLUS/APRICOT KERNEL/ARTEMISIA ANNUA/AQUILARIA AGALLOCHA STEM/ELETTARIA CARDAMOMUM SEED/CORDYCEPS SINENSIS/HERICIUM ERINACEUM/POLYPORUS UMBELLATUS/WHEAT FLOUR/XANTHIUM STRUMARIUM FRUIT FERMENT EXTRACT FILTRATE,ASPERGILLUS/APRICOT KERNEL/ARTEMISIA ANNUA/AQUILARIA AGALLOCHA STEM/ELETTARIA CARDAMOMUM SEED/CORDYCEPS SINENSIS/HERICIUM ERINACEUM/POLYPORUS UMBELLATUS/WHEAT FLOUR/XANTHIUM STRUMARIUM FRUIT FERMENT EXTRACT FILTRATE,,Aspergillus/apricot Kernel/artemisia Annua/aquilaria AGALLOCHA Stem/elettaria CARDAMOMUM Seed/cordyceps Sinensis/hericium Erinaceum/polyporus Umbellatus/wheat Flour/xanthium STRUMARIUM FRUIT FERMENT EXTRACT FILTRATE,Ferment Filtrate,Liquid,Fermentation - Other,Aspergillus/apricot Kernel/artemisia Annua/aquilaria AGALLO…,composite:7b15e43846ef078dd65ae764f4f15b088f693e33,composite_item,1,1,0,cosing
82c227a65875bea71ba53877c2e56dcf04708543,cosing,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SWEET ALMOND OIL/SUNFLOWER SEED OIL/LICORICE ROOT EXTRACT FERMENT EXTRACT FILTRATE,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SWEET ALMOND OIL/SUNFLOWER SEED OIL/LICORICE ROOT EXTRACT FERMENT EXTRACT FILTRATE,,Pseudozyma epicola,Root Extract,Liquid,Fermentation - Other,Pseudozyma epicola,composite:82c227a65875bea71ba53877c2e56dcf04708543,composite_item,1,1,0,cosing
83be8bd158a80550315dcb4c5ca997da40ecace0,cosing,PANTOEA AGGLOMERANS/WHEAT FLOUR FERMENT EXTRACT,PANTOEA AGGLOMERANS/WHEAT FLOUR FERMENT EXTRACT,,Pantoea agglomerans,Ferment,Liquid,Fermentation - Other,Pantoea agglomerans,composite:83be8bd158a80550315dcb4c5ca997da40ecace0,composite_item,1,1,0,cosing
91ad9dca5d8db96d6265730269eb77dd0bf457e0,cosing,LACTOBACILLUS/RYE FLOUR FERMENT FILTRATE,LACTOBACILLUS/RYE FLOUR FERMENT FILTRATE,,Lactobacillus/rye FLOUR FERMENT FILTRATE,Ferment Filtrate,Liquid,Fermentation - Other,Lactobacillus/rye FLOUR FERMENT FILTRATE,composite:91ad9dca5d8db96d6265730269eb77dd0bf457e0,composite_item,1,1,0,cosing
98ff2652e5ee221d99a85ecfaa74f4185c2aa90c,cosing,PSEUDOZYMA EPICOLA/OLIVE FRUIT OIL/SOYBEAN FLOUR FERMENT FILTRATE,PSEUDOZYMA EPICOLA/OLIVE FRUIT OIL/SOYBEAN FLOUR FERMENT FILTRATE,,Pseudozyma epicola,Oil,Oil,Fermentation - Other,Pseudozyma epicola,composite:98ff2652e5ee221d99a85ecfaa74f4185c2aa90c,composite_item,1,1,0,cosing
9baab0cbb0ec4f41326a717412e9ba76318b88ed,cosing,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SUNFLOWER SEED OIL/SWEET ALMOND OIL/ANGELICA GIGAS ROOT EXTRACT FERMENT EXTRACT FILTRATE,PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SUNFLOWER SEED OIL/SWEET ALMOND OIL/ANGELICA GIGAS ROOT EXTRACT FERMENT EXTRACT FILTRATE,,Pseudozyma epicola,Root Extract,Liquid,Fermentation - Other,Pseudozyma epicola,composite:9baab0cbb0ec4f41326a717412e9ba76318b88ed,composite_item,1,1,0,cosing
