term,seed_category,ingredient_category,origin,refinement_level,derived_from,ingredient_category_confidence,origin_confidence,refinement_confidence,derived_from_confidence,overall_confidence,botanical_name,inci_name,cas_number,description,source_count
(agaricus Blazei Ferment Ganoderma Lucidum Ferment Ganoderma Multipileum Ferment),Fermentation - Other,Fermentation - Other,Fermentation,Fermented,,60,60,60,,60,,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,,,1
(angelica Acutiloba/paeonia Lactiflora/rehmannia Glutinosa) Root/cnidium Officinale Rhizome,Roots,Roots,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,,,1
(angelica Acutiloba/paeonia Lactiflora/rehmannia Glutinosa/scutellaria Baicalensis) Root/(cnidium Officinale/coptis Chinensis) Rhizome/gardenia Jasminoides Fruit/phellodendron Chinense Bark,Roots,Roots,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,,1
(angelica Keiskei/chrysanthemum Zawadskii) Leaf/stem/cinnamomum Cassia Bark/trichosantes Kirilowii Fruit/ulmus Davidiana Bark/root/(paeonia Japonica/bupleurum Falcatum/polygala Tenuifolia Root)/viscus Album Stem,Synthetic - Polymers,Synthetic - Polymers,Synthetic,Extracted/Distilled,,60,60,60,,60,,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,,,1
(apple/citrus Junos/lentil/pear/pumpkin/strawberry/tomato Fruit)/corn Kernel/(arctium Lappa/brassica Oleracea Acephala/cabbage/camellia Sinensis/moringa Oleifera/radish/spinach Leaf)/(sorghum Bicolor Leaf/stem)/oat Meal/potato Pulp/(carrot/nelumbo Nucifera/radish/wild Yam Root)/(amaranthus Hypochondriacus/cashew/cicer Arietinum/coix Lacryma-jobi Ma-yuen /macadamia Ternifolia/phaseolus Angularis/pistacia Vera/rhynchosia Nulubilis/rice/sesame/setaria Italica/soybean/sweet Almond/wheat Seed)/hordeum Vulgare Sprout/cyperus Esculentus Tuber/artemisia Princeps/broccoli/chenopodium Quinoa/enteromorpha Compressa/hordeum Vulgare/ipomoea Batatas/laminaria Japonica/lentinus Edodes/pleurotus Ostreatus/porphyra Tenera/undaria Pinnatifida,Grains,Grains,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,,,1
(arctium Lappa/carrot/colocasia Esculenta/dioscorea Batatas/garlic/ginger/ipomoea Batatas/nelumbo Nucifera/onion/potato Bulbs)/(chestnut/citrus Unshiu/eggplant/fig/grape/kiwi/lycopersicon Esculentum/malus Pumila/mume/peach/plum/pumpkin/pyrus Serotina/radish/ziziphus Jujuba Fruit)/(allium Tuberosum/aloe Barbadensis/angelica Utilis/brassica Oleracea Acephala/cabbage/celery/saccharina Japonica/undaria Pinnatifida Leaf)/(allium Fistulosum/enteromorpha Compressa/oenanthe Javanica Stalk)/lentinula Edodes/sucrose Ferment Filtrate,Fermentation - Other,Fermentation - Other,Fermentation,Fermented,,60,60,60,,60,,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,,,1
(aspergillus/saccharomyces)/rice Ferment/barley Grain Meal/nelumbo Nucifera Flower Extract Ferment Extract Filtrate,Fermentation - Other,Fermentation - Other,Fermentation,Fermented,,60,60,60,,60,,(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,,,1
(astragalus Membranaceus/glycyrrhiza Uralensis (licorice)/panax Ginseng) Root/amomum Xanthioides Seed/hordeum Vulgare Sprout/aralia Cordata/achyranthes Japonica,Grains,Grains,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,,,1
(bidens Tripartita Flower/leaf/stem)/perilla Frutescens Leaf/prunella Vulgaris,Herbs,Herbs,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT,,,1
(broccoli/eruca Sativa/lepidium Sativum/nasturtium Officinale/radish) Sprout,Herbs,Herbs,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT,,,1
