Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764725326,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764725327,10,,Aggregated,0.000000,0.000000,860,870,890,900,910,910,910,910,910,910,910,10,0,860.0,859.5688453006005,814.7266649975791,913.420501001383,32634.7
1764725328,20,,Aggregated,0.000000,0.000000,830,870,900,910,1000,1000,1100,1100,1100,1100,1100,28,0,830.0,784.1661173930073,465.3311600013694,1087.490448000608,23386.571428571428
1764725329,30,,Aggregated,0.000000,0.000000,860,910,980,1000,1100,1100,1100,1100,1100,1100,1100,48,0,850.0,841.1083475624915,465.3311600013694,1149.7324019983353,20489.604166666668
1764725330,40,,Aggregated,5.000000,0.000000,830,890,930,980,1000,1100,1100,1100,1100,1100,1100,58,0,820.0,800.2973778966407,387.90537100067013,1149.7324019983353,18097.98275862069
1764725331,50,,Aggregated,5.000000,0.000000,830,890,930,980,1000,1100,1100,1100,1100,1100,1100,58,0,820.0,800.2973778966407,387.90537100067013,1149.7324019983353,18097.98275862069
1764725332,60,,Aggregated,5.000000,0.000000,830,890,930,980,1000,1100,1100,1100,1100,1100,1100,58,0,820.0,800.2973778966407,387.90537100067013,1149.7324019983353,18097.98275862069
1764725333,70,,Aggregated,11.600000,0.000000,890,990,1100,2000,4400,5100,5100,5200,5200,5200,5200,74,0,870.0,1493.88926677032,387.90537100067013,5240.549098998599,25919.567567567567
1764725334,80,,Aggregated,9.666667,0.000000,1000,2000,3300,4100,4600,5000,5100,5200,5200,5200,5200,103,0,1000.0,1941.256693543799,387.90537100067013,5240.549098998599,28357.33009708738
1764725335,90,,Aggregated,8.285714,0.000000,1100,2400,3400,4200,4700,5100,5200,5400,5800,5800,5800,124,0,1100.0,2057.6344002017117,387.90537100067013,5832.1759950013075,27313.532258064515
1764725336,100,,Aggregated,9.500000,0.000000,1300,2400,3200,4100,4700,5100,5200,5400,5800,5800,5800,135,0,1300.0,2031.1929549408283,387.90537100067013,5832.1759950013075,26631.207407407408
1764725337,100,,Aggregated,11.444444,0.000000,1300,2400,3200,3800,4700,5100,5400,5800,7500,7500,7500,141,0,1300.0,2088.929390454001,387.90537100067013,7509.664850000263,26293.68085106383
