Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth.login,45,0,870.0,1010.1231305549542,334.15406849235296,3185.3365963324904,233.0,0.374515404988209,0.0,870,1100,1400,1500,1900,2000,3200,3200,3200,3200,3200
GET,auth.login.page,45,0,380.0,1895.8650968141026,170.46816740185022,60334.40328761935,41324.0,0.374515404988209,0.0,380,530,690,920,1600,2500,60000,60000,60000,60000,60000
GET,auth.login.redirect,45,0,1900.0,4759.672860511475,460.89573949575424,67309.66886784881,70269.6,0.374515404988209,0.0,1900,2600,2800,2900,4200,5000,67000,67000,67000,67000,67000
GET,auth.session_check,45,0,430.0,675.3369127710661,102.08595730364323,2985.1229805499315,244.0,0.374515404988209,0.0,430,810,910,1100,1500,2200,3000,3000,3000,3000,3000
GET,batches.list,52,0,680.0,800.8280581114097,380.5699711665511,2179.6847693622112,42387.0,0.43277335687526375,0.0,690,820,1000,1100,1300,1500,1700,2200,2200,2200,2200
GET,bootstrap.inventory.api,442,0,160.0,304.9292111878886,91.75167139619589,2635.1432241499424,244.0,3.678573533439742,0.0,160,260,380,450,630,1000,1300,1500,2600,2600,2600
GET,bootstrap.products,441,0,700.0,865.3200154325792,319.9545694515109,3314.283582381904,47664.0,3.6702509688844485,0.0,700,880,1000,1100,1500,1900,2300,2600,3300,3300,3300
GET,bootstrap.recipe_library,443,0,150.0,299.0372312501174,97.09426388144493,2696.467949077487,50007.0,3.6868960979950356,0.0,150,240,350,420,640,1000,1400,1900,2700,2700,2700
GET,bootstrap.recipes,443,0,720.0,936.2022711287839,337.8713857382536,4724.802657030523,42577.0,3.6868960979950356,0.0,720,920,1100,1300,1700,2300,2800,3000,4700,4700,4700
GET,dashboard,115,0,530.0,651.6224407955357,252.55257543176413,2173.182802274823,50186.0,0.9570949238587564,0.0,530,630,780,900,1100,1400,1800,2000,2200,2200,2200
GET,expiration.summary,46,0,160.0,344.52202673191607,98.71016349643469,1381.2631666660309,44.0,0.3828379695435026,0.0,170,350,480,510,790,1200,1400,1400,1400,1400,1400
GET,global.items,56,0,200.0,391.0833071983819,106.57335165888071,2495.83147931844,109373.64285714286,0.4660636150964379,0.0,220,270,360,490,970,1600,1900,2500,2500,2500,2500
POST,inventory.adjust.restock,37,0,730.0,888.0677455532792,373.93062748014927,3267.587885260582,50407.0,0.30793488854586076,0.0,730,940,1100,1100,1300,1900,3300,3300,3300,3300,3300
POST,inventory.adjust.spoil,25,0,700.0,876.117718629539,384.9286437034607,2494.9602810665965,50407.0,0.20806411388233834,0.0,700,870,1100,1200,1400,1700,2500,2500,2500,2500,2500
POST,inventory.adjust.trash,33,0,770.0,802.504841576923,443.55414528399706,1415.7913569360971,50407.0,0.2746446303246866,0.0,770,870,930,1100,1100,1300,1400,1400,1400,1400,1400
GET,inventory.list,110,0,980.0,1176.065809677609,534.9747808650136,3698.6097656190395,50405.0,0.9154821010822888,0.0,990,1200,1400,1500,2000,2200,3300,3300,3700,3700,3700
GET,inventory.view,71,0,560.0,750.4806620606654,257.80640449374914,3482.634460553527,99771.54929577465,0.5909020834258409,0.0,560,750,940,1000,1200,1600,1800,3500,3500,3500,3500
GET,products.list,47,0,690.0,851.5166034922004,379.0087914094329,2335.3900546208024,47664.0,0.3911605340987961,0.0,690,820,1000,1100,1500,1600,2300,2300,2300,2300,2300
GET,public.global_items,22,0,200.0,310.8894714492966,109.19785033911467,1267.0969879254699,104947.36363636363,0.18309642021645775,0.0,230,280,350,350,620,960,1300,1300,1300,1300,1300
GET,public.homepage,36,0,180.0,296.35084461834697,104.85253483057022,1489.248034544289,36916.0,0.2996123239905672,0.0,180,310,350,390,690,1000,1500,1500,1500,1500,1500
GET,public.recipe_library,14,0,140.0,275.4024114858891,99.0233113989234,1189.9595567956567,50007.0,0.11651590377410947,0.0,160,270,310,370,560,1200,1200,1200,1200,1200,1200
GET,public.signup,9,0,410.0,900.1997659603754,167.40591544657946,2233.310963958502,55989.0,0.0749030809976418,0.0,410,670,1600,2200,2200,2200,2200,2200,2200,2200,2200
GET,public.tools,20,0,470.0,503.5029213875532,215.05336556583643,1250.9717531502247,47897.0,0.16645129110587067,0.0,500,560,590,630,1000,1300,1300,1300,1300,1300,1300
GET,recipes.import,23,0,790.0,868.8766598377539,345.23109812289476,1918.9930260181427,133218.30434782608,0.1914189847717513,0.0,790,900,970,1100,1300,1600,1900,1900,1900,1900,1900
GET,recipes.library.detail,23,0,590.0,670.7825490637966,248.19091986864805,1632.8076235949993,46258.13043478261,0.1914189847717513,0.0,590,690,770,800,1300,1300,1600,1600,1600,1600,1600
GET,recipes.library.list,52,0,140.0,254.98589325266389,98.45936764031649,886.0876699909568,49197.346153846156,0.43277335687526375,0.0,150,220,380,410,580,750,760,890,890,890,890
GET,recipes.list,95,0,730.0,894.9947783723474,361.4113247022033,2972.0231080427766,42577.0,0.7906436327528857,0.0,730,910,1000,1200,1500,2100,2600,3000,3000,3000,3000
,Aggregated,2835,0,540.0,730.3060115336373,91.75167139619589,67309.66886784881,41437.74885361552,23.594470514257168,0.0,540,710,870,990,1400,1800,2500,2900,60000,67000,67000
